read file successful
predict: 3512.19	real: 3500.00 -> 12.19
predict: 6880.85	real: 6500.00 -> 380.85
predict: 6998.19	real: 7000.00 -> 1.81
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.60	real: 7000.00 -> 11.60
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7048.11	real: 7000.00 -> 48.11
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7004.34	real: 7000.00 -> 4.34
predict: 6998.19	real: 7000.00 -> 1.81
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 7011.52	real: 7000.00 -> 11.52
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8002.26	real: 8000.00 -> 2.26
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 7998.13	real: 8000.00 -> 1.87
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 7998.13	real: 8000.00 -> 1.87
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8012.45	real: 8000.00 -> 12.45
predict: 7998.13	real: 8000.00 -> 1.87
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 7998.13	real: 8000.00 -> 1.87
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 8011.93	real: 8000.00 -> 11.93
predict: 9905.93	real: 9988.00 -> 82.07
R Square: 0.999057
